timestamp,query,text,sentiment,confidence
2025-12-11 23:33:12.555398,Elettromedia Spa,"Kia EV6 Owner Discovers Factory Wiring Error in Subwoofer, Fixes Weak Sound in Minutes. The EV6's weak sound system has frustrated owners, but reversing a few wires running to the Meridian subwoofer is all it takes to boost bass dramatically.",negative,0.6096141934394836
2025-12-11 23:33:12.740590,Elettromedia Spa,"Automotive Audio Speakers Market to Grow by USD 9.02 Billion (2024-2028) with Cost-Effective Aftermarket Speakers Boosting the Market, Report on Market Evolution Powered by AI - Technavio. Report on how AI is driving market transformation - The global automotive audio speakers market size is estimated to grow by USD 9.02 billion from 2024-2028...",positive,0.6643907427787781
2025-12-11 23:33:12.872823,Elettromedia Spa,"Lavoce Italiana Comes to North America. Italian transducer company Lavoce Italiana has established its first U.S. division, Elettromedia Corporation, based in Old Hickory, TN.",neutral,0.7901442050933838
2025-12-11 23:33:13.005912,Elettromedia Spa,"Elettromedia Training at KnowledgeFest. Press Release: Irvine, CA – Elettromedia USA is hosting several training sessions at KnowledgeFest Las Vegas February 3rd-5th.",neutral,0.8425894975662231
2025-12-11 23:40:24.248518,Ferrari,Ferrari crash: Luxury car had a history of speeding. Kolkata: Kolkata Police will seek help of engineers from Ferrari to study the reasons that led to one of their cars getting involved in an accident on.,negative,0.62410968542099
2025-12-11 23:40:24.383238,Ferrari,"Adrian Newey or Max Verstappen: what would Ferrari’s former key figures choose?. Maurizio Arrivabene and Luigi Mazzola reveal whether Ferrari should choose Adrian Newey or Max Verstappen, highlighting why technical excellence is more...",neutral,0.9174836277961731
2025-12-11 23:40:24.498802,Ferrari,60 Years Of The Dino: How Ferrari Turned A “Junior” Into A Legend. Ferrari's new feature on the Dino's 60th anniversary reveals how its first mid-engined V6 road car was hand-shaped into an icon that is now a blue-chip...,neutral,0.566238284111023
2025-12-11 23:40:24.606439,Ferrari,Former Ferrari boss weighs in on departing engine specialists: what Maranello should worry about. Maurizio Arrivabene discusses the departure of key Ferrari engine specialists and the potential impact on the team's 2026 F1 season as rivals prepare for...,neutral,0.9085403680801392
2025-12-11 23:40:24.708324,Ferrari,"Lewis Hamilton warned his F1 legacy is at risk after disastrous first season with Ferrari. Lewis Hamilton faces growing concerns about damaging his Formula 1 legacy after a difficult first season with Ferrari, as his ongoing struggles and lack of...",negative,0.7664820551872253
2025-12-11 23:40:24.824364,Ferrari,"While confident he made the most of what Ferrari gave him this year, Leclerc hopes for a lot more from 2026. After Ferrari's promising form of 2024 faded in 2025, Charles Leclerc is staying cautious about the team's chances of a quick rebound under the incoming...",positive,0.6923292875289917
2025-12-11 23:40:24.913603,Ferrari,"Bookies open betting on Lewis Hamilton retiring after nightmare season at Ferrari. When Lewis Hamilton announced he was joining Ferrari for the 2025 season, everything seemed to be lined up for a title charge.",neutral,0.7515650391578674
2025-12-11 23:40:25.015110,Ferrari,"Representing Ferrari, Alba Larsen is living a ""dream come true"".. Every racing driver dreams of racing in the famous Ferrari red, and at just 16 years old, Alba Larsen is about to achieve this feat.",positive,0.9591248035430908
2025-12-11 23:40:25.173862,Ferrari,"Ferrari: Fred Vasseur cautions Lewis Hamilton and Charles Leclerc about a key pitfall ahead of 2026 F1 campaign. Ferrari enter the 2026 Formula 1 season under huge pressure, with Lewis Hamilton and Charles Leclerc urged to push the team relentlessly rather than offer...",neutral,0.897258996963501
2025-12-11 23:40:25.289483,Ferrari,"""Lewis Hamilton isn't finished"": Former Ferrari boss tries to knock 'common sense' into the team's driver decisions. Former Ferrari F1 team principal Maurizio Arrivabene has lent support to Lewis Hamilton after his nightmare first season with the Scuderia.",neutral,0.681147038936615
2025-12-11 23:40:25.392379,Ferrari,"Lewis Hamilton’s dire first Ferrari season keeps drawing the same comparison to Michael Schumacher. Lewis Hamilton joining Ferrari sparked pandemonium in Maranello ahead of the 2025 F1 season, but bitter disappointment and even anger quickly replaced any...",negative,0.7126820683479309
2025-12-11 23:40:25.496356,Ferrari,Lewis Hamilton urged to study Max Verstappen’s radio craft to help drive Ferrari forward. Lewis Hamilton is urged to adopt Max Verstappen's motivational style as Ferrari seek stronger leadership after a difficult 2025 F1 season.,neutral,0.6595488786697388
2025-12-11 23:40:25.642155,Ferrari,Recon 2022 Ferrari Roma 3.9 Coupe SURROUND VIEW / CARBON / JBL / ELECTRIC SEAT / INCOMING STOCK. 2022 Ferrari Roma 3.9 Coupe SURROUND VIEW / CARBON / JBL / ELECTRIC SEAT / INCOMING STOCK. Find all the best used / second hand and new cars from trusted...,neutral,0.69819575548172
2025-12-11 23:40:25.788479,Ferrari,"Ghost in white: a nearly-new, 986 HP Ferrari SF90 Stradale hits the market. This impeccably specced SF90 Stradale comes with a clean Carfax report and is now ready to find a new home. Ferrari SF90 Stradale.",positive,0.8663274645805359
2025-12-11 23:40:25.889634,Ferrari,Lewis Hamilton gets response from Ferrari after joint complaints with Charles Leclerc. Lewis Hamilton and Charles Leclerc spent the Formula 1 season complaining about how uncompetitive their Ferrari cars were compared to their championship...,neutral,0.6231443285942078
2025-12-11 23:40:26.000135,Ferrari,"214-Mile 2025 Ferrari 12Cilindri For Sale. Grab the keys to Ferrari's latest and greatest supercar! While most Ferraris have historically been recognized for their mid-engine configurations, Enzo.",positive,0.797694981098175
2025-12-11 23:40:26.115016,Ferrari,"Dubai Police Force Commits Crime Against Sanity With Mansory Purosangue. Dubai's police force is all about putting on a show. Its fleet is legendary for its collection of supercars, hypercars, and even four-rotor flying...",neutral,0.5327199101448059
2025-12-11 23:40:26.236435,Ferrari,"Carlos Sainz silences Williams ‘doubts’ after Ferrari departure. Carlos Sainz admitted ""there were doubts"" from outside about his move to Williams in 2025, but he believes the team is on an upward trend.",neutral,0.8175623416900635
2025-12-11 23:40:26.336150,Ferrari,"Europe cracks down on rule-breaking Ferrari, Rolls-Royce owners. Authorities in London and Vienna recently took these rich dweebs down a peg and let them know they can't just do whatever they want.",negative,0.7607141733169556
2025-12-11 23:40:26.446514,Ferrari,Lewis Hamilton's Dad may have just set up Ferrari star's F1 retirement. Seven-time F1 world champion Lewis Hamilton may just have been given a retirement plan from his father Anthony Hamilton.,neutral,0.5159865617752075
2025-12-11 23:40:44.616365,Elettromedia,Elettromedia USA Names New President. Rob Wempe to President of Mobile Audio for Advanced Marketing companies. Wempe was previously VP of Sales & Marketing at the company for fifteen years.,neutral,0.7228948473930359
2025-12-11 23:40:44.727524,Elettromedia,"Elettromedia USA Parent Buys Biketronics. Advanced Marketing, the parent company of Elettromedia USA, American Hard Bag and Velocity brands is proud to announce the acquisition of Biketronics located...",positive,0.8176090717315674
2025-12-11 23:40:44.818475,Elettromedia,"Elettromedia Elevated in MESA Role. Elettromedia, takes an elevated position as a vendor for the car audio Mobile Electronics Specialists of America buying group.",positive,0.6863150596618652
2025-12-11 23:40:44.936782,Elettromedia,"Elettromedia Adds Automated DSP Tuning. Elettromedia Adds Automated DSP Tuning ... Elettromedia, maker of Hertz and Audison, is offering the next generation of its tuning software, bit Drive 2.0. It...",neutral,0.5924315452575684
2025-12-11 23:40:45.039521,Elettromedia,"Elettromedia USA Owner Buys This Company. Elettromedia USA Owner Buys This Company ... Advanced Marketing, the US Distributor of Hertz, Audison and other brands, announced it is taking over the operations...",neutral,0.7651730179786682
2025-12-11 23:40:45.137103,Elettromedia,"Former JL Exec Joins Hertz/Audison Marine. Elettromedia announced the appointment of Brian Power as Vice President of its Marine Division, which includes both the Hertz and Audison marine audio...",neutral,0.8856467008590698
2025-12-11 23:40:45.252198,Elettromedia,"Elettromedia Names New Rep. Press Release (UNEDITED): IRVINE, CA– Elettromedia-USA, manufacturer of premium electronics and speaker systems for the automotive, marine, and motorsports...",neutral,0.9273980855941772
2025-12-11 23:40:45.397305,Elettromedia,"Lavoce Italiana Comes to North America. Italian transducer company Lavoce Italiana has established its first U.S. division, Elettromedia Corporation, based in Old Hickory, TN.",neutral,0.7901442050933838
2025-12-11 23:40:45.510152,Elettromedia,Audison Announces Wide Availability of Forza Amps. Press Release (UNEDITED): LAS VEGAS– Audison announces wide availability for award-winning Forza DSP amplifiers. “After a very successful launch of AF Forza...,positive,0.5248441100120544
2025-12-11 23:40:45.602417,Elettromedia,"Elettromedia Training at KnowledgeFest. Press Release: Irvine, CA – Elettromedia USA is hosting several training sessions at KnowledgeFest Las Vegas February 3rd-5th.",neutral,0.8425894975662231
2025-12-11 23:40:45.700735,Elettromedia,Elettromedia Names Reps of the Year 2021. Press Release: Elettromedia is proud to announce the following reps and rep firms that were named Elettromedia Reps of the Year for 2021.,positive,0.9222844839096069
2025-12-11 23:40:45.802643,Elettromedia,"Elettromedia Hosts Reps in Italy. Press Release: Elettromedia will be conducting a sales rep training in Potenza Picena, Italy in March. Forty USA field reps will be trained on new products,...",neutral,0.8989458084106445
2025-12-11 23:40:45.897368,Elettromedia,"Elettromedia Appoints New Executive. Effectively immediately, Pilgrim will work with dealers to supply marketing support and materials and help drive sales. He will also keep a hand technical...",neutral,0.7104781270027161
2025-12-11 23:40:45.998556,Elettromedia,Advanced Marketing Exits Full Line 12 Volt Distribution. Advanced Marketing (AM) announced it is ceasing its full-line car audio wholesale distribution business. Instead it will devote its full efforts to growing...,neutral,0.7373328804969788
2025-12-11 23:40:46.081800,Elettromedia,"Elettromedia Names New Rep. Elettromedia has appointed Current Marketing as its representative for the Arizona and southern Nevada territories, effective immediately.",neutral,0.9036652445793152
2025-12-11 23:40:46.176913,Elettromedia,Elettromedia Promotes Wempe and Delgado. Elettromedia-USA has promoted Rob Wempe to Vice President of the company from his former post as Director of Sales and Marketing.,neutral,0.4994317293167114
2025-12-11 23:40:46.264677,Elettromedia,"Larry Frederick Leaves Elettromedia. Prominent, veteran car audio product developer Larry Frederick has left Elettromedia and is entertaining other possibilities in car electronics.",neutral,0.5087681412696838
2025-12-11 23:42:09.006472,Celaschi,Charleroi will pursue funding from restitution in Ha case. Councilman Larry Celaschi said the borough was harmed by the failure to pay taxes on illegal aliens.,negative,0.6671392917633057
2025-12-11 23:42:09.109556,Celaschi,"Charleroi councilman claims glass plant will reopen, but other officials cannot confirm. The closed Corelle Brands plant in Charleroi, shown on Friday. After it closed in April, production was moved to Lancaster, Ohio.",neutral,0.85775226354599
2025-12-11 23:42:09.233219,Celaschi,"Perryopolis man held for court in vehicular death case. John Delbert Celaschi Jr., 25, of Perryopolis, was held for court on all but one charge filed against him in Fayette County in relation to the vehicular...",neutral,0.715713381767273
2025-12-11 23:42:09.340242,Celaschi,"Immigrants Rebuilt a Pennsylvania Town — Then Became Targets. Larry Celaschi summons me to look at his cell phone, which displays a photo of a truck. The picture, which someone shared with Celaschi, features the...",neutral,0.945743203163147
2025-12-11 23:42:09.465843,Celaschi,"Andrew Celaschi Obituary (2025) - Carmichaels, PA - Observer-Reporter. Andrew Celaschi Obituary. Andrew Michael Celaschi, 25, died Tuesday, April 29, 2025, from injuries sustained when he was struck by a tree...",neutral,0.7802605032920837
2025-12-11 23:42:09.576318,Celaschi,"Greene man killed Tuesday when tree falls on car. Andrew Celaschi, 25, was the passenger in a Toyota Corolla that was headed westbound on Jefferson Road in Franklin Township, about 150 feet north of the...",negative,0.5343117713928223
2025-12-11 23:42:09.678246,Celaschi,"Perryopolis man charged with homicide by vehicle. A Perryopolis man faces homicide by vehicle while driving under the influence charges following a two-vehicle head-on crash Sept. 21, 2024.",negative,0.7082436680793762
2025-12-11 23:42:09.781644,Celaschi,"Fayette County man charged with vehicular homicide in crash that killed Ringgold grad. John Celaschi, 25, was leaving a wedding when the truck he was driving allegedly crossed the center line on Brownsville Road in Jefferson Township, hitting a...",negative,0.6681841015815735
2025-12-11 23:42:09.877497,Celaschi,"Perryopolis man charged with homicide by vehicle. A Perryopolis man faces homicide by vehicle while driving under the influence charges following a two-vehicle head-on accident on Sept. 21, 2024.",negative,0.695264458656311
